umidade_solo,declividade,chuva_24h,temperatura,velocidade,idade_maquina,horas_operacao,status_operacao,score_risco,risco,recomendacao
54.07,26.16,42.2,45.0,23.36,15.71,13.94,Colheita,75.94,ALTO,Atencao a inclinacao - reduzir velocidade
32.35,17.55,2.57,32.7,20.85,11.73,6.3,Colheita,68.97,ALTO,Atencao a inclinacao - reduzir velocidade
43.39,28.45,50.47,44.65,20.98,13.62,12.66,Manobra,77.53,ALTO,Atencao a inclinacao - reduzir velocidade
50.43,20.34,42.7,40.45,22.7,20.0,12.73,Manobra,76.29,ALTO,Atencao a inclinacao - reduzir velocidade
48.43,29.77,49.83,44.26,24.43,20.0,9.74,Colheita,76.66,ALTO,Atencao a inclinacao - reduzir velocidade
23.32,4.29,5.67,21.41,6.17,4.11,6.95,Deslocamento,4.17,BAIXO,Seguir rota atual
42.35,15.02,8.27,33.16,8.22,7.35,8.38,Deslocamento,19.37,BAIXO,Seguir rota atual
62.13,28.3,31.22,41.31,26.09,20.0,8.83,Colheita,76.63,ALTO,Atencao a inclinacao - reduzir velocidade
6.84,15.48,5.17,21.66,8.07,0.0,5.01,Colheita,4.13,BAIXO,Seguir rota atual
22.29,11.7,0.96,26.43,5.15,5.77,3.21,Manobra,3.46,BAIXO,Seguir rota atual
31.74,16.02,11.26,39.43,11.3,8.11,6.1,Deslocamento,37.16,MEDIO,Reduzir velocidade
48.5,26.85,71.21,39.66,27.86,16.99,12.56,Manobra,76.97,ALTO,Atencao a inclinacao - reduzir velocidade
50.55,23.12,21.11,39.84,18.67,15.29,8.75,Colheita,76.53,ALTO,Atencao a inclinacao - reduzir velocidade
24.45,19.19,4.0,35.75,15.71,6.63,8.91,Deslocamento,30.76,MEDIO,Atencao a inclinacao - reduzir velocidade
20.41,11.39,0.0,22.97,7.42,8.6,4.02,Colheita,6.69,BAIXO,Seguir rota atual
28.74,23.86,12.92,36.43,13.13,11.45,8.79,Colheita,44.53,MEDIO,Reduzir velocidade
38.97,29.69,57.75,44.95,17.45,13.4,11.99,Deslocamento,74.7,ALTO,Atencao a inclinacao - reduzir velocidade
24.19,10.67,1.8,26.41,7.91,9.37,6.41,Colheita,5.77,BAIXO,Seguir rota atual
41.31,20.34,15.05,37.64,9.42,12.21,10.4,Colheita,41.27,MEDIO,Pausa recomendada - risco de fadiga
47.78,25.56,47.97,44.39,22.79,14.93,14.0,Colheita,73.84,ALTO,Atencao a inclinacao - reduzir velocidade
46.43,22.57,25.53,36.9,16.19,17.43,9.56,Colheita,74.67,ALTO,Atencao a inclinacao - reduzir velocidade
34.91,20.04,9.28,37.65,13.89,7.78,10.03,Manobra,38.03,MEDIO,Pausa recomendada - risco de fadiga
45.41,19.28,30.15,41.53,18.09,10.03,11.71,Deslocamento,73.51,ALTO,Atencao a inclinacao - reduzir velocidade
26.26,23.56,8.86,38.21,8.47,5.31,10.19,Colheita,29.23,MEDIO,Pausa recomendada - risco de fadiga
13.36,9.85,0.0,30.24,4.53,6.66,6.25,Colheita,2.79,BAIXO,Seguir rota atual
35.82,23.75,20.08,38.38,11.97,6.11,10.7,Colheita,54.03,ALTO,Pausa recomendada - risco de fadiga
30.61,22.29,15.89,42.04,14.09,11.01,11.46,Deslocamento,66.89,ALTO,Pausa recomendada - risco de fadiga
51.68,27.95,49.69,38.39,25.03,15.84,9.97,Colheita,77.41,ALTO,Atencao a inclinacao - reduzir velocidade
48.78,26.88,43.66,44.0,27.73,17.25,9.38,Manobra,75.96,ALTO,Atencao a inclinacao - reduzir velocidade
39.98,25.32,9.93,40.36,18.04,11.07,9.5,Colheita,72.91,ALTO,Atencao a inclinacao - reduzir velocidade
43.36,20.58,8.12,34.59,16.69,5.54,12.06,Colheita,34.3,MEDIO,Atencao a inclinacao - reduzir velocidade
43.0,17.8,20.94,33.7,16.88,14.66,8.82,Manobra,46.84,MEDIO,Atencao a inclinacao - reduzir velocidade
40.74,27.86,13.95,36.82,19.44,17.89,10.01,Manobra,75.18,ALTO,Atencao a inclinacao - reduzir velocidade
46.07,26.02,12.06,38.54,18.69,17.06,11.13,Colheita,74.59,ALTO,Atencao a inclinacao - reduzir velocidade
34.72,27.96,13.75,38.99,16.03,16.66,11.71,Manobra,77.44,ALTO,Atencao a inclinacao - reduzir velocidade
52.07,28.39,45.44,44.67,11.88,13.11,12.48,Deslocamento,75.86,ALTO,Pausa recomendada - risco de fadiga
11.94,9.55,3.39,34.78,10.15,3.6,4.7,Manobra,9.43,BAIXO,Seguir rota atual
34.41,18.19,8.98,32.97,8.61,9.87,10.26,Deslocamento,30.87,MEDIO,Reduzir velocidade
14.37,11.58,2.11,27.27,8.64,4.9,5.91,Deslocamento,2.52,BAIXO,Seguir rota atual
30.87,19.21,6.97,33.01,11.47,3.35,8.02,Manobra,36.31,MEDIO,Reduzir velocidade
18.01,6.98,3.28,25.69,7.96,7.62,3.7,Colheita,4.24,BAIXO,Seguir rota atual
25.37,15.83,5.56,34.59,9.69,4.11,8.09,Deslocamento,9.0,BAIXO,Seguir rota atual
36.45,22.38,5.21,34.35,9.22,7.91,7.3,Deslocamento,19.34,BAIXO,Seguir rota atual
24.01,0.86,2.92,27.51,7.37,12.0,5.7,Colheita,13.74,BAIXO,Seguir rota atual
26.97,19.62,0.0,35.68,9.5,10.75,7.9,Colheita,16.49,BAIXO,Seguir rota atual
19.18,5.46,9.22,24.39,10.67,7.44,5.96,Colheita,6.67,BAIXO,Seguir rota atual
22.58,9.58,0.0,24.61,8.69,4.85,2.19,Deslocamento,0.0,BAIXO,Seguir rota atual
49.74,30.0,57.47,42.81,25.81,12.9,8.59,Deslocamento,75.7,ALTO,Atencao a inclinacao - reduzir velocidade
27.6,26.25,6.63,35.03,11.1,13.71,12.25,Deslocamento,68.67,ALTO,Pausa recomendada - risco de fadiga
35.53,7.36,4.89,18.42,9.95,1.5,5.43,Colheita,10.42,BAIXO,Seguir rota atual
26.22,17.64,3.81,33.57,10.38,6.36,10.67,Deslocamento,18.27,BAIXO,Seguir rota atual
33.37,22.66,27.74,38.46,12.85,11.31,12.36,Manobra,61.79,ALTO,Pausa recomendada - risco de fadiga
21.36,5.88,5.45,20.49,8.36,6.23,4.38,Colheita,0.37,BAIXO,Seguir rota atual
34.97,19.34,22.28,43.69,13.09,13.38,5.83,Deslocamento,55.59,ALTO,Interromper operacao
15.91,7.88,1.27,21.32,5.66,5.88,4.63,Deslocamento,4.27,BAIXO,Seguir rota atual
5.0,0.0,2.18,28.29,1.5,3.5,3.95,Deslocamento,3.15,BAIXO,Seguir rota atual
46.11,18.46,9.91,36.57,5.61,10.3,9.43,Deslocamento,66.69,ALTO,Interromper operacao
39.07,28.0,0.0,42.9,11.14,8.86,8.91,Manobra,72.94,ALTO,Interromper operacao
37.45,20.29,20.64,35.45,17.25,10.75,7.74,Colheita,46.54,MEDIO,Atencao a inclinacao - reduzir velocidade
37.3,25.77,13.72,41.08,12.81,14.27,11.37,Manobra,76.56,ALTO,Pausa recomendada - risco de fadiga
59.24,26.47,51.69,43.29,27.18,11.84,13.49,Colheita,74.31,ALTO,Atencao a inclinacao - reduzir velocidade
33.44,19.74,8.46,37.01,11.65,8.64,12.16,Colheita,37.09,MEDIO,Pausa recomendada - risco de fadiga
26.9,11.48,2.63,21.55,8.91,7.63,7.95,Colheita,1.27,BAIXO,Seguir rota atual
36.38,21.31,4.88,38.82,17.99,10.6,11.28,Manobra,57.12,ALTO,Atencao a inclinacao - reduzir velocidade
18.67,9.3,0.56,26.43,1.02,4.44,1.74,Colheita,4.16,BAIXO,Seguir rota atual
44.65,23.11,10.33,42.08,9.15,13.24,10.86,Colheita,51.46,ALTO,Pausa recomendada - risco de fadiga
18.34,12.54,0.68,21.88,5.78,3.41,2.89,Colheita,3.4,BAIXO,Seguir rota atual
28.56,6.96,5.06,23.15,3.36,5.81,1.18,Manobra,4.93,BAIXO,Seguir rota atual
49.66,22.9,64.87,45.0,22.42,17.79,10.31,Manobra,75.33,ALTO,Atencao a inclinacao - reduzir velocidade
52.72,27.6,47.64,45.0,24.93,14.87,8.69,Deslocamento,75.45,ALTO,Atencao a inclinacao - reduzir velocidade
34.24,21.63,18.75,36.61,22.24,16.55,11.2,Deslocamento,71.55,ALTO,Atencao a inclinacao - reduzir velocidade
35.58,19.15,3.24,36.31,12.77,4.27,9.67,Deslocamento,38.13,MEDIO,Reduzir velocidade
18.91,0.37,1.42,23.93,10.78,6.67,2.33,Colheita,8.7,BAIXO,Seguir rota atual
23.4,1.81,7.25,23.64,6.81,8.98,2.43,Manobra,0.0,BAIXO,Seguir rota atual
10.22,5.67,7.12,18.4,1.34,3.65,6.1,Colheita,3.26,BAIXO,Seguir rota atual
44.6,18.15,5.94,40.62,6.39,6.83,9.38,Colheita,38.96,MEDIO,Reduzir velocidade
42.7,20.47,18.28,32.54,13.03,13.36,8.04,Colheita,54.23,ALTO,Interromper operacao
40.35,23.34,15.26,40.51,12.11,11.38,11.22,Deslocamento,68.48,ALTO,Pausa recomendada - risco de fadiga
21.1,5.65,4.67,29.57,2.9,8.48,4.33,Colheita,4.86,BAIXO,Seguir rota atual
52.13,30.0,31.28,40.87,20.85,11.65,14.0,Deslocamento,76.68,ALTO,Atencao a inclinacao - reduzir velocidade
34.86,20.33,19.64,36.39,13.81,12.95,9.33,Colheita,54.74,ALTO,Verificar equipamento - desgaste elevado
34.25,17.88,0.43,37.29,17.26,8.06,9.45,Deslocamento,29.86,MEDIO,Atencao a inclinacao - reduzir velocidade
44.16,18.19,31.62,40.61,19.9,9.8,13.64,Colheita,54.47,ALTO,Atencao a inclinacao - reduzir velocidade
41.2,22.21,9.17,35.01,15.6,8.42,5.07,Colheita,29.4,MEDIO,Atencao a inclinacao - reduzir velocidade
12.18,7.26,4.93,25.72,9.44,0.0,5.29,Colheita,5.06,BAIXO,Seguir rota atual
20.46,23.04,7.53,37.68,9.41,11.84,11.08,Manobra,28.13,MEDIO,Pausa recomendada - risco de fadiga
43.5,21.61,22.64,37.88,17.57,16.95,12.14,Colheita,52.85,ALTO,Atencao a inclinacao - reduzir velocidade
14.89,9.45,0.12,28.86,7.9,0.0,2.68,Deslocamento,1.75,BAIXO,Seguir rota atual
18.02,6.8,0.37,27.94,7.5,4.42,3.49,Deslocamento,8.09,BAIXO,Seguir rota atual
27.34,14.62,2.55,22.94,7.98,3.93,4.72,Deslocamento,5.06,BAIXO,Seguir rota atual
25.18,0.36,7.95,26.36,6.18,4.73,4.92,Colheita,4.61,BAIXO,Seguir rota atual
41.34,30.0,45.41,44.33,25.81,10.94,12.95,Colheita,73.88,ALTO,Atencao a inclinacao - reduzir velocidade
38.39,24.54,0.98,39.7,13.19,13.3,10.94,Colheita,56.25,ALTO,Pausa recomendada - risco de fadiga
29.34,17.15,7.45,32.41,14.53,6.89,3.19,Deslocamento,9.77,BAIXO,Seguir rota atual
17.38,3.85,0.0,19.81,7.22,8.99,5.63,Colheita,4.43,BAIXO,Seguir rota atual
30.15,21.82,5.7,33.22,8.54,2.74,8.22,Manobra,28.05,MEDIO,Reduzir velocidade
36.26,19.61,5.92,32.22,13.82,4.05,10.55,Manobra,37.32,MEDIO,Reduzir velocidade
12.98,4.99,0.0,23.49,8.95,6.55,6.96,Colheita,3.15,BAIXO,Seguir rota atual
39.18,15.59,6.35,32.88,15.99,4.41,10.79,Colheita,28.47,MEDIO,Atencao a inclinacao - reduzir velocidade
42.14,27.32,5.95,38.85,18.84,6.15,5.93,Deslocamento,71.47,ALTO,Atencao a inclinacao - reduzir velocidade
28.72,24.14,2.93,38.88,16.31,12.56,10.85,Colheita,40.92,MEDIO,Atencao a inclinacao - reduzir velocidade
41.33,25.84,10.38,37.97,12.68,14.49,11.8,Colheita,75.13,ALTO,Pausa recomendada - risco de fadiga
23.16,12.73,0.47,34.34,10.05,7.21,8.56,Manobra,19.37,BAIXO,Seguir rota atual
21.75,17.9,4.32,38.89,8.85,10.27,11.74,Colheita,28.24,MEDIO,Pausa recomendada - risco de fadiga
44.17,22.85,10.1,37.46,18.75,14.34,9.92,Manobra,53.36,ALTO,Atencao a inclinacao - reduzir velocidade
31.66,11.9,2.65,43.0,8.16,8.57,11.01,Deslocamento,29.55,MEDIO,Pausa recomendada - risco de fadiga
43.73,27.55,54.38,43.04,30.0,8.99,14.0,Manobra,74.56,ALTO,Atencao a inclinacao - reduzir velocidade
38.96,24.32,21.53,37.8,15.69,6.43,11.21,Colheita,43.69,MEDIO,Atencao a inclinacao - reduzir velocidade
22.09,10.55,7.17,27.84,7.3,2.36,3.58,Colheita,4.87,BAIXO,Seguir rota atual
28.31,13.75,3.29,26.23,5.19,8.52,6.33,Deslocamento,7.53,BAIXO,Seguir rota atual
51.65,19.37,14.98,40.69,16.94,11.35,8.25,Colheita,74.98,ALTO,Atencao a inclinacao - reduzir velocidade
26.17,10.88,1.25,32.78,9.34,5.4,5.16,Colheita,0.57,BAIXO,Seguir rota atual
39.43,16.55,8.15,27.39,14.63,3.32,12.01,Colheita,31.65,MEDIO,Reduzir velocidade
48.35,26.36,38.72,42.14,27.67,8.0,14.0,Colheita,77.37,ALTO,Atencao a inclinacao - reduzir velocidade
37.7,15.17,2.62,42.71,9.16,4.54,11.27,Colheita,30.79,MEDIO,Pausa recomendada - risco de fadiga
37.71,16.25,9.08,31.9,15.3,11.18,10.06,Manobra,34.82,MEDIO,Atencao a inclinacao - reduzir velocidade
42.17,27.28,18.0,36.45,16.35,18.26,7.97,Colheita,71.75,ALTO,Atencao a inclinacao - reduzir velocidade
32.11,21.67,7.73,32.07,15.37,14.96,9.39,Colheita,41.76,MEDIO,Atencao a inclinacao - reduzir velocidade
27.77,13.8,9.29,40.42,13.43,7.99,7.82,Deslocamento,19.29,BAIXO,Seguir rota atual
44.54,29.5,54.14,38.36,28.36,15.72,14.0,Manobra,73.3,ALTO,Atencao a inclinacao - reduzir velocidade
24.26,14.54,7.26,38.01,17.39,10.12,8.51,Colheita,36.4,MEDIO,Reduzir velocidade
44.87,30.0,35.35,45.0,20.86,18.77,13.36,Colheita,73.99,ALTO,Atencao a inclinacao - reduzir velocidade
49.32,25.44,41.59,44.28,22.31,12.22,11.67,Deslocamento,76.25,ALTO,Atencao a inclinacao - reduzir velocidade
20.55,0.0,5.37,21.1,4.69,0.0,1.41,Manobra,3.27,BAIXO,Seguir rota atual
10.51,5.16,9.86,23.37,7.36,6.2,5.26,Deslocamento,4.35,BAIXO,Seguir rota atual
19.46,3.22,8.35,35.04,3.63,1.93,4.44,Deslocamento,4.04,BAIXO,Seguir rota atual
13.25,10.02,1.82,36.83,9.38,5.64,7.05,Colheita,2.03,BAIXO,Seguir rota atual
27.74,5.74,1.55,26.39,8.72,5.42,1.85,Deslocamento,5.25,BAIXO,Seguir rota atual
35.18,21.78,17.39,45.92,10.84,13.52,12.98,Colheita,75.9,ALTO,Pausa recomendada - risco de fadiga
35.9,6.38,5.47,28.85,7.39,4.7,5.87,Deslocamento,8.02,BAIXO,Seguir rota atual
5.0,10.73,4.38,24.89,11.09,2.98,4.19,Deslocamento,14.48,BAIXO,Seguir rota atual
59.96,24.5,39.5,42.56,25.36,14.62,9.41,Manobra,76.95,ALTO,Atencao a inclinacao - reduzir velocidade
16.27,5.57,3.77,28.13,7.84,0.0,7.13,Colheita,3.69,BAIXO,Seguir rota atual
41.52,26.15,21.55,43.3,16.4,16.04,11.04,Colheita,78.83,ALTO,Atencao a inclinacao - reduzir velocidade
19.31,17.09,6.67,28.87,4.45,1.14,5.59,Deslocamento,7.68,BAIXO,Seguir rota atual
21.02,5.54,4.42,33.94,8.39,1.58,4.78,Deslocamento,3.71,BAIXO,Seguir rota atual
35.17,20.84,14.69,38.57,11.23,11.62,8.88,Manobra,65.69,ALTO,Interromper operacao
22.42,28.16,26.71,38.87,15.06,8.49,13.39,Colheita,70.02,ALTO,Atencao a inclinacao - reduzir velocidade
59.49,27.47,55.24,43.53,16.65,12.76,12.26,Colheita,75.71,ALTO,Atencao a inclinacao - reduzir velocidade
37.27,21.34,17.27,39.76,15.16,8.82,8.57,Deslocamento,54.6,ALTO,Atencao a inclinacao - reduzir velocidade
32.29,24.93,1.15,43.46,19.16,11.09,4.79,Colheita,44.37,MEDIO,Atencao a inclinacao - reduzir velocidade
17.47,7.74,0.97,23.42,10.06,6.99,3.15,Manobra,10.67,BAIXO,Seguir rota atual
8.82,6.69,3.36,28.48,5.93,6.53,8.87,Colheita,11.12,BAIXO,Seguir rota atual
44.89,21.86,16.53,38.93,18.54,10.12,10.09,Manobra,65.48,ALTO,Atencao a inclinacao - reduzir velocidade
40.31,20.49,7.02,40.97,14.82,13.5,8.93,Deslocamento,52.58,ALTO,Interromper operacao
56.1,24.37,62.12,37.76,23.74,15.43,10.41,Manobra,72.12,ALTO,Atencao a inclinacao - reduzir velocidade
38.4,25.12,0.0,38.01,4.52,5.1,12.26,Colheita,68.91,ALTO,Pausa recomendada - risco de fadiga
30.35,15.3,7.01,43.0,6.5,4.85,11.99,Manobra,29.44,MEDIO,Pausa recomendada - risco de fadiga
51.15,21.69,8.09,46.29,19.78,14.04,8.38,Colheita,76.1,ALTO,Atencao a inclinacao - reduzir velocidade
19.66,7.36,4.99,33.26,8.76,1.77,7.75,Deslocamento,1.67,BAIXO,Seguir rota atual
51.57,29.06,59.67,39.67,21.86,12.41,8.86,Colheita,75.29,ALTO,Atencao a inclinacao - reduzir velocidade
51.73,30.0,26.6,42.9,24.56,14.37,11.77,Deslocamento,77.91,ALTO,Atencao a inclinacao - reduzir velocidade
24.61,20.93,4.22,27.24,15.58,10.88,9.1,Colheita,36.4,MEDIO,Atencao a inclinacao - reduzir velocidade
41.37,25.22,19.79,42.71,14.11,15.94,10.64,Colheita,76.92,ALTO,Pausa recomendada - risco de fadiga
41.16,18.19,20.3,37.5,13.09,9.55,7.87,Manobra,36.72,MEDIO,Reduzir velocidade
34.87,13.33,9.76,19.89,7.14,1.12,3.61,Colheita,10.51,BAIXO,Seguir rota atual
45.41,30.0,41.04,45.0,24.42,20.0,9.04,Manobra,75.54,ALTO,Atencao a inclinacao - reduzir velocidade
45.07,24.59,3.13,40.03,13.01,7.32,7.35,Manobra,71.33,ALTO,Interromper operacao
46.4,30.0,45.01,45.0,18.84,11.66,14.0,Colheita,72.91,ALTO,Atencao a inclinacao - reduzir velocidade
10.55,6.34,4.1,26.56,6.64,6.19,6.39,Deslocamento,3.27,BAIXO,Seguir rota atual
53.67,24.04,42.16,45.0,25.58,9.88,12.7,Colheita,74.59,ALTO,Atencao a inclinacao - reduzir velocidade
19.17,20.19,17.49,32.21,9.5,10.29,5.91,Colheita,31.07,MEDIO,Reduzir velocidade
15.57,10.39,2.1,24.82,8.49,6.26,5.53,Colheita,6.99,BAIXO,Seguir rota atual
48.3,28.11,43.76,44.37,20.01,13.45,10.02,Manobra,75.22,ALTO,Atencao a inclinacao - reduzir velocidade
19.75,4.76,0.66,27.29,7.43,7.35,4.14,Colheita,6.96,BAIXO,Seguir rota atual
22.86,10.2,5.33,21.87,7.3,6.09,5.01,Deslocamento,2.68,BAIXO,Seguir rota atual
39.57,27.48,67.13,41.92,19.09,15.12,12.62,Deslocamento,78.66,ALTO,Atencao a inclinacao - reduzir velocidade
55.96,23.23,52.31,44.77,21.43,15.02,14.0,Manobra,77.63,ALTO,Atencao a inclinacao - reduzir velocidade
41.98,15.43,12.1,35.74,12.22,8.22,8.7,Colheita,35.17,MEDIO,Reduzir velocidade
47.15,21.75,9.04,38.82,15.54,15.69,11.21,Deslocamento,74.61,ALTO,Atencao a inclinacao - reduzir velocidade
28.2,28.0,9.32,41.1,11.54,9.6,10.68,Deslocamento,69.9,ALTO,Pausa recomendada - risco de fadiga
28.53,12.23,6.62,24.42,5.86,6.0,6.87,Deslocamento,5.25,BAIXO,Seguir rota atual
18.44,12.26,8.36,21.42,5.33,4.58,5.62,Manobra,3.55,BAIXO,Seguir rota atual
36.85,26.06,21.39,40.12,10.69,8.05,10.56,Manobra,73.39,ALTO,Pausa recomendada - risco de fadiga
27.2,25.04,16.73,47.0,21.92,11.46,9.79,Colheita,76.74,ALTO,Atencao a inclinacao - reduzir velocidade
45.97,27.11,4.9,34.64,13.13,13.75,10.99,Deslocamento,71.8,ALTO,Verificar equipamento - desgaste elevado
46.42,18.4,0.0,42.57,12.52,5.94,10.29,Colheita,73.65,ALTO,Pausa recomendada - risco de fadiga
25.55,7.51,2.63,25.2,6.26,0.96,3.57,Colheita,3.55,BAIXO,Seguir rota atual
39.17,21.29,8.84,32.02,11.46,1.47,9.36,Deslocamento,40.33,MEDIO,Reduzir velocidade
30.0,2.1,2.24,27.65,9.51,3.66,3.62,Colheita,8.64,BAIXO,Seguir rota atual
19.25,20.41,18.21,37.11,11.93,8.97,8.98,Colheita,35.77,MEDIO,Reduzir velocidade
28.5,23.29,9.13,36.07,9.07,11.91,10.33,Manobra,33.05,MEDIO,Pausa recomendada - risco de fadiga
47.24,30.0,40.02,40.65,18.96,8.69,12.94,Colheita,73.11,ALTO,Atencao a inclinacao - reduzir velocidade
20.35,15.09,0.0,35.66,11.55,7.02,6.91,Manobra,13.2,BAIXO,Seguir rota atual
11.79,9.86,2.35,27.58,5.23,5.54,7.61,Colheita,5.78,BAIXO,Seguir rota atual
24.1,6.35,4.77,24.8,7.02,4.02,4.67,Deslocamento,3.69,BAIXO,Seguir rota atual
41.27,19.02,9.87,35.83,10.2,8.35,10.32,Manobra,33.37,MEDIO,Pausa recomendada - risco de fadiga
34.64,23.54,18.28,34.09,16.96,14.43,8.01,Colheita,54.96,ALTO,Atencao a inclinacao - reduzir velocidade
22.94,4.57,4.29,19.68,3.41,3.85,4.75,Colheita,4.2,BAIXO,Seguir rota atual
17.22,3.26,2.8,27.35,6.91,5.55,3.66,Colheita,6.33,BAIXO,Seguir rota atual
47.03,18.47,21.9,43.55,16.44,11.39,8.94,Colheita,79.18,ALTO,Atencao a inclinacao - reduzir velocidade
27.25,2.31,1.09,24.01,9.48,6.14,3.06,Manobra,2.63,BAIXO,Seguir rota atual
48.45,25.16,37.9,45.0,16.51,18.83,13.66,Manobra,77.6,ALTO,Atencao a inclinacao - reduzir velocidade
46.55,20.61,16.8,35.7,13.43,13.48,12.59,Colheita,75.53,ALTO,Pausa recomendada - risco de fadiga
12.25,6.54,3.55,19.02,8.18,2.83,4.61,Colheita,6.15,BAIXO,Seguir rota atual
16.84,4.84,3.98,24.92,6.26,2.81,5.64,Colheita,5.0,BAIXO,Seguir rota atual
58.27,27.42,54.96,38.83,22.63,10.71,9.05,Colheita,72.12,ALTO,Atencao a inclinacao - reduzir velocidade
29.09,24.77,12.75,36.97,7.4,7.41,9.6,Deslocamento,29.69,MEDIO,Reduzir velocidade
36.4,12.62,3.55,35.74,13.61,1.41,8.68,Colheita,27.69,MEDIO,Reduzir velocidade
40.86,24.55,23.54,41.75,12.6,6.28,9.21,Deslocamento,54.59,ALTO,Interromper operacao
55.01,30.0,52.11,44.29,23.52,12.33,11.74,Colheita,77.96,ALTO,Atencao a inclinacao - reduzir velocidade
58.35,24.17,61.15,42.03,27.3,9.78,13.17,Colheita,74.61,ALTO,Atencao a inclinacao - reduzir velocidade
35.58,17.75,19.75,43.03,12.47,7.5,9.82,Deslocamento,46.3,MEDIO,Reduzir velocidade
34.3,22.19,12.75,35.76,17.57,8.67,8.31,Deslocamento,44.68,MEDIO,Atencao a inclinacao - reduzir velocidade
8.72,6.95,2.99,30.8,7.92,1.46,5.34,Manobra,1.4,BAIXO,Seguir rota atual
44.03,26.58,25.1,42.28,15.18,13.16,12.5,Manobra,70.96,ALTO,Atencao a inclinacao - reduzir velocidade
24.34,18.6,4.14,37.52,15.69,6.21,4.22,Colheita,18.3,BAIXO,Seguir rota atual
31.7,23.65,10.69,37.71,11.16,4.16,10.03,Colheita,43.57,MEDIO,Pausa recomendada - risco de fadiga
45.83,30.0,50.71,41.26,19.55,13.72,11.52,Manobra,74.05,ALTO,Atencao a inclinacao - reduzir velocidade
27.82,8.75,1.81,35.45,7.1,7.31,3.78,Manobra,0.6,BAIXO,Seguir rota atual
37.9,21.24,0.0,43.0,15.87,6.81,6.8,Manobra,35.53,MEDIO,Atencao a inclinacao - reduzir velocidade
22.43,8.35,5.07,26.96,8.01,9.34,6.14,Colheita,3.61,BAIXO,Seguir rota atual
26.6,25.45,16.2,43.0,8.63,8.73,4.84,Manobra,69.33,ALTO,Interromper operacao
23.87,5.81,9.77,22.13,3.62,3.59,1.05,Colheita,4.38,BAIXO,Seguir rota atual
25.26,0.0,4.09,15.61,6.36,9.93,5.72,Deslocamento,7.22,BAIXO,Seguir rota atual
13.96,7.88,4.05,28.36,4.27,6.78,0.0,Manobra,1.93,BAIXO,Seguir rota atual
36.22,20.54,23.07,40.07,10.78,9.05,10.4,Colheita,56.76,ALTO,Pausa recomendada - risco de fadiga
39.53,20.26,14.15,42.09,13.45,11.74,14.0,Manobra,65.09,ALTO,Pausa recomendada - risco de fadiga
23.61,12.59,11.92,33.29,11.05,5.66,8.48,Colheita,31.39,MEDIO,Reduzir velocidade
57.99,29.41,53.62,38.75,17.4,8.0,10.38,Manobra,73.13,ALTO,Atencao a inclinacao - reduzir velocidade
42.65,22.07,6.89,35.91,9.93,8.61,10.53,Colheita,32.14,MEDIO,Pausa recomendada - risco de fadiga
8.69,9.2,6.8,23.92,8.4,12.0,4.79,Manobra,10.59,BAIXO,Seguir rota atual
51.97,24.79,46.81,44.38,22.78,10.94,12.41,Colheita,74.64,ALTO,Atencao a inclinacao - reduzir velocidade
30.24,9.79,6.89,24.81,8.5,5.84,3.1,Deslocamento,9.98,BAIXO,Seguir rota atual
51.59,24.02,38.67,43.57,23.19,10.43,14.0,Deslocamento,75.52,ALTO,Atencao a inclinacao - reduzir velocidade
24.0,5.18,0.0,25.28,6.11,5.34,4.27,Colheita,4.98,BAIXO,Seguir rota atual
39.96,25.83,41.94,44.9,19.21,19.04,8.18,Colheita,73.64,ALTO,Atencao a inclinacao - reduzir velocidade
29.18,7.1,6.58,26.4,9.28,3.84,2.8,Deslocamento,3.94,BAIXO,Seguir rota atual
57.1,26.66,47.22,45.0,17.87,15.79,10.82,Colheita,76.79,ALTO,Atencao a inclinacao - reduzir velocidade
33.94,20.29,0.5,32.88,16.05,10.66,8.87,Deslocamento,44.07,MEDIO,Atencao a inclinacao - reduzir velocidade
51.22,26.12,58.57,42.4,22.93,17.44,10.45,Colheita,78.69,ALTO,Atencao a inclinacao - reduzir velocidade
30.91,1.88,8.89,24.14,6.51,0.0,4.09,Manobra,11.55,BAIXO,Seguir rota atual
26.68,17.57,7.31,39.83,12.62,8.92,6.81,Colheita,17.99,BAIXO,Seguir rota atual
45.6,30.0,37.65,45.0,21.03,14.01,14.0,Colheita,76.43,ALTO,Atencao a inclinacao - reduzir velocidade
45.18,19.56,6.06,35.78,13.01,10.67,9.01,Colheita,72.59,ALTO,Interromper operacao
43.71,26.92,21.05,40.93,10.44,4.11,10.78,Colheita,74.81,ALTO,Pausa recomendada - risco de fadiga
39.43,20.46,19.95,39.82,18.38,12.26,8.51,Colheita,61.35,ALTO,Atencao a inclinacao - reduzir velocidade
42.92,19.13,10.63,34.09,10.05,8.25,9.03,Deslocamento,43.4,MEDIO,Reduzir velocidade
42.88,21.19,3.31,38.7,17.38,11.11,9.51,Manobra,52.03,ALTO,Atencao a inclinacao - reduzir velocidade
42.89,17.15,0.29,35.36,10.55,5.1,8.65,Deslocamento,32.56,MEDIO,Reduzir velocidade
52.46,26.97,48.07,45.0,20.63,14.84,10.98,Deslocamento,75.88,ALTO,Atencao a inclinacao - reduzir velocidade
14.08,5.66,2.56,27.8,11.7,2.85,4.17,Colheita,9.61,BAIXO,Seguir rota atual
