N,P,K,temperatura,umidade,ph,chuva,cultura,irrigacao,rendimento
0,1,0,21.5,28.2,5.84,36.4,soja,DESLIGADA,51.3
0,1,0,33.9,34.9,4.98,174.3,trigo,DESLIGADA,82.6
1,1,1,31.2,62.3,6.19,131.2,milho,DESLIGADA,166.69
0,1,0,27.2,49.1,7.2,170.1,cafe,LIGADA,125.88
1,0,1,27.5,44.2,5.46,2.3,milho,LIGADA,89.51
0,0,1,26.9,36.3,4.53,221.4,milho,LIGADA,113.43
0,0,1,27.3,58.1,4.51,170.2,cafe,DESLIGADA,126.73
0,0,0,26.9,44.2,6.57,223.0,milho,DESLIGADA,125.56
0,0,0,20.8,25.7,4.94,86.9,soja,LIGADA,36.5
0,0,0,25.8,84.9,5.56,77.3,soja,LIGADA,138.66
0,1,0,22.0,82.2,6.74,31.9,milho,LIGADA,135.99
0,0,0,22.7,74.1,4.85,238.0,soja,LIGADA,160.15
0,1,0,21.8,34.3,7.01,146.3,cafe,DESLIGADA,95.82
1,1,1,29.8,34.1,5.99,233.5,cafe,DESLIGADA,155.48
1,0,1,21.9,33.2,6.7,101.6,trigo,DESLIGADA,108.68
0,0,0,21.8,27.3,5.37,23.7,milho,DESLIGADA,30.1
1,1,0,31.7,62.2,4.89,90.0,cafe,LIGADA,124.58
0,1,0,31.7,39.8,6.26,151.8,soja,LIGADA,101.96
0,0,0,34.9,52.7,7.21,30.5,soja,DESLIGADA,60.88
0,0,0,22.0,62.8,6.76,184.0,cafe,LIGADA,139.28
0,1,0,28.9,28.6,5.24,98.3,cafe,DESLIGADA,64.47
1,1,0,24.0,57.0,6.12,229.9,trigo,LIGADA,184.91
1,0,0,31.7,38.0,5.02,44.9,milho,DESLIGADA,58.31
1,0,1,33.9,63.0,7.13,169.1,soja,DESLIGADA,157.87
0,0,1,29.3,81.3,5.34,210.0,milho,LIGADA,182.43
0,1,1,20.2,73.0,7.37,204.1,trigo,LIGADA,185.69
0,0,0,27.4,68.0,6.22,167.0,trigo,LIGADA,140.94
1,1,0,21.9,64.5,5.72,104.1,cafe,LIGADA,148.42
0,1,0,31.0,34.5,5.93,194.2,cafe,DESLIGADA,108.17
0,0,0,27.8,81.5,6.4,174.6,soja,DESLIGADA,169.83
0,1,0,25.9,26.6,5.3,83.1,cafe,LIGADA,65.63
1,0,0,33.3,80.7,5.97,99.5,milho,LIGADA,144.94
0,1,1,27.0,24.8,6.84,168.5,trigo,LIGADA,113.67
1,0,0,21.4,32.4,6.18,133.3,soja,LIGADA,98.55
0,1,0,34.9,62.1,6.43,144.5,trigo,LIGADA,131.86
0,0,0,25.9,37.9,7.15,200.7,cafe,LIGADA,104.46
1,0,0,32.9,33.9,6.08,204.4,trigo,LIGADA,113.33
0,0,1,21.7,71.5,5.2,202.7,trigo,DESLIGADA,164.86
0,1,0,31.9,49.8,6.92,145.5,trigo,LIGADA,116.51
0,0,0,30.5,50.5,5.44,223.8,soja,LIGADA,117.17
0,0,1,28.6,23.1,5.24,185.3,cafe,LIGADA,83.92
0,0,1,34.2,30.5,6.57,151.1,soja,DESLIGADA,88.84
0,1,0,22.3,79.6,4.8,101.0,trigo,LIGADA,135.9
0,1,1,31.2,72.5,5.76,53.8,cafe,DESLIGADA,134.61
1,0,1,24.1,72.2,7.15,225.3,milho,DESLIGADA,201.29
0,0,0,29.6,87.4,5.82,214.4,cafe,LIGADA,179.06
0,1,1,25.6,27.6,4.58,116.5,cafe,LIGADA,85.11
1,0,1,26.2,57.5,6.96,3.1,soja,DESLIGADA,117.26
1,1,1,23.4,56.1,6.07,33.7,trigo,LIGADA,140.9
0,0,1,30.0,73.9,6.48,187.9,cafe,DESLIGADA,173.98
1,1,0,21.3,63.0,7.36,40.0,milho,LIGADA,124.78
0,1,1,28.5,76.5,5.75,140.9,trigo,DESLIGADA,172.02
0,0,0,24.8,71.5,4.65,233.2,trigo,LIGADA,153.61
0,1,0,29.1,70.0,6.7,43.3,soja,DESLIGADA,124.39
1,0,0,29.0,41.5,5.45,223.6,soja,DESLIGADA,126.73
1,0,1,30.6,31.9,5.0,54.5,milho,LIGADA,73.0
1,1,1,29.0,70.5,4.72,77.2,cafe,DESLIGADA,150.55
0,0,1,31.8,83.9,5.82,185.5,trigo,LIGADA,175.74
1,1,0,30.2,65.6,5.46,235.2,trigo,LIGADA,181.08
1,0,1,31.6,80.6,6.61,137.1,milho,LIGADA,186.51
0,1,0,34.9,46.4,6.29,75.9,cafe,DESLIGADA,86.05
1,0,1,31.4,37.2,5.48,64.7,soja,DESLIGADA,86.17
1,0,1,23.0,24.3,4.59,29.3,cafe,DESLIGADA,55.32
0,0,0,27.5,61.2,7.1,239.7,milho,DESLIGADA,148.51
1,0,1,27.1,22.0,4.51,80.8,trigo,LIGADA,69.16
1,1,0,29.7,25.8,4.54,136.2,cafe,DESLIGADA,81.64
1,1,0,28.9,60.9,5.47,161.4,soja,LIGADA,151.61
1,0,1,20.6,35.2,5.19,125.2,trigo,LIGADA,103.84
0,0,0,32.5,29.1,6.38,116.8,cafe,DESLIGADA,60.25
1,1,1,28.4,57.6,5.6,183.6,milho,LIGADA,178.88
1,1,0,33.2,46.1,6.54,82.3,soja,LIGADA,110.96
1,0,1,34.6,41.8,6.88,138.9,milho,DESLIGADA,116.61
0,1,1,34.5,37.4,4.88,26.8,cafe,DESLIGADA,60.7
1,1,0,34.1,89.7,5.67,162.4,trigo,DESLIGADA,189.11
1,1,1,33.4,35.0,5.01,167.6,soja,LIGADA,118.1
0,1,1,34.9,86.5,5.26,171.9,soja,DESLIGADA,181.64
0,0,1,25.9,46.8,5.0,192.7,soja,LIGADA,127.21
0,1,0,33.3,69.5,5.82,207.1,cafe,LIGADA,154.62
0,1,1,29.8,74.5,6.22,200.3,cafe,LIGADA,190.88
0,1,0,28.8,75.7,5.98,33.7,milho,LIGADA,123.82
0,0,1,24.5,74.1,4.65,41.8,soja,DESLIGADA,118.49
0,0,0,30.5,33.7,5.45,70.0,milho,DESLIGADA,46.95
0,0,0,24.0,49.0,4.73,180.4,soja,LIGADA,103.38
1,1,0,33.9,38.7,6.7,207.8,soja,DESLIGADA,137.19
1,1,1,26.2,49.9,6.36,90.2,soja,DESLIGADA,151.83
0,0,1,24.4,49.6,5.44,147.8,cafe,LIGADA,122.82
1,0,0,26.7,77.8,5.66,43.0,cafe,DESLIGADA,138.12
0,1,0,31.8,70.4,5.22,85.4,milho,DESLIGADA,117.26
0,1,0,33.4,48.5,5.74,89.1,soja,DESLIGADA,88.56
1,1,1,20.4,57.9,5.04,213.1,milho,LIGADA,178.06
1,1,1,33.1,84.7,5.46,124.8,soja,LIGADA,185.81
0,1,0,28.0,84.1,7.12,139.7,milho,DESLIGADA,167.62
0,0,0,26.7,64.5,4.54,23.0,soja,LIGADA,73.73
0,1,1,24.7,85.0,6.94,215.6,soja,DESLIGADA,216.3
1,0,0,25.2,89.3,4.59,206.6,soja,LIGADA,189.61
1,0,1,29.5,27.2,7.15,39.9,cafe,LIGADA,75.97
1,0,1,25.7,78.0,4.54,114.0,milho,DESLIGADA,165.28
1,1,1,21.4,86.1,5.16,157.8,milho,DESLIGADA,208.21
0,1,1,33.0,55.8,4.69,17.6,soja,DESLIGADA,85.26
0,1,0,25.1,48.8,7.2,33.1,trigo,LIGADA,91.53
0,1,0,25.0,61.0,6.35,135.7,milho,DESLIGADA,145.41
0,1,1,30.1,39.6,6.0,13.1,trigo,DESLIGADA,78.13
1,0,0,21.7,43.0,4.63,35.1,trigo,LIGADA,66.99
1,0,0,23.8,77.2,4.57,192.9,trigo,DESLIGADA,165.11
1,0,0,33.7,55.3,6.45,10.2,milho,DESLIGADA,89.01
1,0,0,21.3,43.0,4.51,160.4,soja,LIGADA,103.34
0,1,1,20.9,81.8,6.12,91.0,cafe,DESLIGADA,168.24
0,0,0,30.1,60.3,5.61,208.1,cafe,LIGADA,133.0
1,1,0,24.6,41.8,6.13,62.6,trigo,LIGADA,110.24
1,0,0,30.6,71.0,5.2,194.6,milho,LIGADA,159.08
0,0,1,26.1,32.4,6.24,193.0,milho,DESLIGADA,118.18
0,0,1,24.1,49.8,6.92,114.5,milho,LIGADA,117.21
0,1,1,22.8,85.9,6.05,120.2,milho,DESLIGADA,187.11
1,1,0,29.0,77.1,5.21,9.0,trigo,LIGADA,129.87
0,1,1,32.1,45.0,5.27,108.8,trigo,DESLIGADA,101.18
0,0,0,20.1,60.4,6.98,39.7,trigo,DESLIGADA,87.95
1,0,0,30.8,78.5,6.22,193.7,milho,DESLIGADA,179.9
1,0,1,30.4,68.6,4.72,137.3,trigo,LIGADA,148.93
1,0,0,31.3,49.7,6.57,239.3,trigo,DESLIGADA,154.9
0,1,0,30.6,61.9,6.64,232.6,soja,DESLIGADA,164.75
